"id","code","name","parent_id:id","type","user_type:id","reconcile"
"557","557","Zúčtování oprávky k oceňovacímu rozdílu k nabytému majetku","55","other","account_type_expense","FALSE"
"558","558","Tvorba a zúčtování zákonných opravných položek v provozní činnosti","55","other","account_type_expense","FALSE"
"559","559","Tvorba a zúčtování opravných položek v provozní činnosti","55","other","account_type_expense","FALSE"

"56","56","Finanční náklady","5","view","account_type_view","FALSE"
"561","561","Prodané cenné papíry a podíly","56","other","account_type_expense","FALSE"
"562","562","Úroky","56","other","account_type_expense","FALSE"
"563","563","Kursové ztráty","56","other","account_type_expense","FALSE"
"564","564","Náklady z přecenění cenných papírů","56","other","account_type_expense","FALSE"
"566","566","Náklady z finančního majetku","56","other","account_type_expense","FALSE"
"567","567","Náklady z derivátových operací","56","other","account_type_expense","FALSE"
"568","568","Ostatní finanční náklady","56","other","account_type_expense","FALSE"
"569","569","Manka a škody na finančním majetku","56","other","account_type_expense","FALSE"

"57","57","Rezervy a opravné položky finančních nákladů","5","view","account_type_view","FALSE"
"574","574","Tvorba a zúčtování finančních rezerv","57","other","account_type_expense","FALSE"
"579","579","Tvorba a zúčtování opravných položek ve finanční činnosti","57","other","account_type_expense","FALSE"

"58","58","Mimořádné náklady","5","view","account_type_view","FALSE"
"581","581","Náklady na změnu metody","58","other","account_type_expense","FALSE"
"582","582","Škody","58","other","account_type_expense","FALSE"
"584","584","Tvorba a zúčtování mimořádných rezerv","58","other","account_type_expense","FALSE"
"588","588","Ostatní mimorádné náklady","58","other","account_type_expense","FALSE"
"589","589","Tvorba a zúčtování opravných položek v mimořádné činnosti","58","other","account_type_expense","FALSE"


"59","59","Daně z příjmů a převodové účty","5","view","account_type_view","FALSE"
"591","591","Daň z příjmů z běžné činnosti splatná","59","other","account_type_expense","FALSE"
"592","592","Daň z příjmů z běžné činnosti odložená","59","other","account_type_expense","FALSE"
"593","593","Daň z příjmů z mimořádné činnosti splatná","59","other","account_type_expense","FALSE"
"594","594","Daň z příjmů z mimořádné činnosti odložená","59","other","account_type_expense","FALSE"
"595","595","Dodatečné odvody daně z příjmů","59","other","account_type_expense","FALSE"
"596","596","Převod podílu na výsledku hospodaření společníkům","59","other","account_type_expense","FALSE"
"597","597","Převod provozních nákladů","59","other","account_type_expense","FALSE"
"598","598","Převod finančních nákladů","59","other","account_type_expense","FALSE"

"6","6","Výnosy","account_template_root","view","account_type_view","FALSE"

"60","60","Tržby za vlastní výkony a zboží","6","view","account_type_view","FALSE"
"601","601","Tržby za vlastní výrobky","60","other","account_type_income","FALSE"
"602","602","Tržby z prodeje služeb","60","other","account_type_income","FALSE"
"604","604","Tržby za zboží","60","other","account_type_income","FALSE"

"61","61","Změny stavu zásob vlastní činnosti","6","view","account_type_view","FALSE"
"611","611","Změna stavu nedokončené výroby","61","other","account_type_income","FALSE"
"612","612","Změna stavu polotovaru vlastní výroby","61","other","account_type_income","FALSE"
"613","613","Změna stavu výrobku","61","other","account_type_income","FALSE"
"614","614","Změna stavu zvířat","61","other","account_type_income","FALSE"

"62","62","Aktivace","6","view","account_type_view","FALSE"
"621","621","Aktivace materiálu a zboží","62","other","account_type_income","FALSE"
"622","622","Aktivace vnitropodnikových služeb","62","other","account_type_income","FALSE"
"623","623","Aktivace dlouhodobého nehmotného majetku","62","other","account_type_income","FALSE"
"624","624","Aktivace dlouhodobého hmotného majetku","62","other","account_type_income","FALSE"

"64","64","Jiné provozní výnosy","6","view","account_type_view","FALSE"
"641","641","Tržby z prodeje dlouhodobého nehmotného a hmotného majetku","64","other","account_type_income","FALSE"
"642","642","Tržby z prodeje materiálu","64","other","account_type_income","FALSE"
"644","644","Smluvní pokuty a úroky z prodlení","64","other","account_type_income","FALSE"
"646","646","Výnosy z odepsaných pohledávek","64","other","account_type_income","FALSE"
"648","648","Ostatní provozní výnosy","64","other","account_type_income","FALSE"

"66","66","Finanční výnosy","6","view","account_type_view","FALSE"
"661","661","Tržby z prodeje cenných papírů a podílů","66","other","account_type_income","FALSE"
"662","662","Úroky","66","other","account_type_income","FALSE"
"663","663","Kursové zisky","66","other","account_type_income","FALSE"
"664","664","Výnosy z přecenění cenných papírů","66","other","account_type_income","FALSE"
"665","665","Výnosy z dlouhodobého finančního majetku","66","other","account_type_income","FALSE"
"666","666","Výnosy z krátkodobého finančního majetku","66","other","account_type_income","FALSE"
"667","667","Výnosy z derivátových operací","66","other","account_type_income","FALSE"
"668","668","Ostatní finanční výnosy","66","other","account_type_income","FALSE"

"68","68","Mimořádné výnosy","6","view","account_type_view","FALSE"
"681","681","Výnosy ze změny metody","68","other","account_type_income","FALSE"
"688","688","Ostatní mimorádné výnosy","68","other","account_type_income","FALSE"

"69","69","Převodové účty","6","view","account_type_view","FALSE"
"697","697","Převod provozních výnosů","69","other","account_type_income","FALSE"
"698","698","Převod financních výnosů","69","other","account_type_income","FALSE"

"7","7","Závěrkové a podrozvahové účty","account_template_root","view","account_type_view","FALSE"

"70","70","Účty rozvažné","7","view","account_type_view","FALSE"
"701","701","Počáteční účet rozvažný","70","other","account_type_fixed_assets","FALSE"
"702","702","Konečný účet rozvažný","70","other","account_type_fixed_assets","FALSE"

"71","71","Účet zisků a ztrát","7","view","account_type_view","FALSE"
"710","710","Účet zisků a ztrát","71","other","account_type_profit_and_loss","FALSE"

"75","75","Majetek v úschově","7","view","account_type_view","FALSE"
"750","750","Majetek v úschově","75","other","account_type_profit_and_loss","FALSE"

"76","76","Podrozvahová aktiva","7","view","account_type_view","FALSE"
"760","760","Podrozvahová aktiva","76","other","account_type_profit_and_loss","FALSE"

"77","77","Podrozvahová pasiva","7","view","account_type_view","FALSE"
"770","770","Podrozvahová pasiva","77","other","account_type_profit_and_loss","FALSE"

"78","78","Účet zisků a ztrát","7","view","account_type_view","FALSE"
"780","780","Technické účty","78","other","account_type_profit_and_loss","FALSE"


